GEOFIPS,spanish,other_indo_european,asian_and_pacific_island,other
42101026400,130,165,0,0
42101026500,150,94,0,18
42101026600,169,203,0,224
42101026700,0,171,0,0
42101026800,109,39,274,119
42101026900,120,39,50,193
42101027000,62,159,267,38
42101027100,348,522,657,44
42101027200,119,118,257,88
42101027300,544,124,1717,249
42101027401,278,84,861,126
42101027402,1678,117,1328,9
42101027500,343,556,495,0
42101027600,2,14,0,211
42101027700,160,22,241,0
42101027800,144,94,42,178
42101027901,96,0,86,21
42101027902,204,40,67,68
42101028000,1,19,10,14
42101028100,144,87,38,13
42101028200,255,251,335,0
42101028300,528,0,249,103
42101028400,827,82,77,41
42101028500,932,61,193,5
42101028600,1614,148,473,266
42101028700,1413,51,60,0
42101028800,1825,56,643,67
42101028901,2053,55,264,0
42101028902,3657,83,495,54
42101029000,2025,554,495,0
42101029100,1192,134,978,175
42101029200,1629,158,215,16
42101029300,1077,36,8,9
42101029400,990,24,45,4
42101029800,1242,189,154,0
42101029900,874,86,17,16
42101030000,1281,349,87,136
42101030100,773,294,40,17
42101030200,1994,654,325,89
42101030501,1107,421,120,29
42101030502,1452,648,789,168
42101030600,1312,1129,265,24
42101030700,236,644,34,0
42101030800,954,388,523,266
42101030900,910,300,736,84
42101031000,1330,930,1141,449
42101031101,1326,741,431,78
42101031102,902,311,175,25
42101031200,1026,409,489,283
42101031300,1320,279,1006,230
42101031401,1561,1246,1356,273
42101031402,990,360,1483,68
42101031501,305,397,343,73
42101031502,202,736,301,139
42101031600,514,581,570,232
42101031700,1047,165,305,343
42101031800,1003,402,181,8
42101031900,1029,224,139,0
42101032000,768,255,99,103
42101032100,746,153,109,28
42101032300,294,105,0,14
42101032500,321,191,123,28
42101032600,960,94,191,164
42101032900,260,195,103,0
42101033000,466,547,0,39
42101033101,92,255,149,17
42101033102,121,244,22,0
42101033200,71,167,222,43
42101033300,506,230,74,41
42101033400,454,1373,455,70
42101033500,549,1056,362,55
42101033600,657,1140,147,392
42101033701,102,1396,308,657
42101033702,337,702,806,217
42101033800,732,851,498,43
42101033900,78,227,203,73
42101034000,110,117,186,11
42101034100,150,247,125,79
42101034200,43,270,248,0
42101034400,184,797,811,142
42101034501,203,1082,113,79
42101034502,401,1495,243,277
42101034600,156,355,111,25
42101034701,275,641,449,318
42101034702,64,323,298,0
42101034801,152,114,14,58
42101034802,298,160,0,453
42101034803,324,373,12,86
42101034900,581,183,304,32
42101035100,14,62,0,0
42101035200,83,89,290,9
42101035301,189,182,177,60
42101035302,64,113,117,37
42101035500,252,2029,431,103
42101035601,206,1229,398,129
42101035602,80,358,565,0
42101035701,118,1591,1108,93
42101035702,214,1856,499,112
42101035800,105,2182,777,32
42101035900,61,1190,305,421
42101036000,82,509,562,0
42101036100,135,56,63,23
42101036201,85,160,73,8
42101036202,237,223,136,0
42101036203,218,128,80,0
42101036301,62,106,482,51
42101036302,89,166,18,20
42101036303,93,340,119,37
42101036400,87,26,28,0
42101036501,26,438,214,108
42101036502,19,191,55,54
42101036600,78,125,108,27
42101036700,106,154,60,0
42101036900,73,330,670,106
42101037200,72,256,963,24
42101037300,160,560,259,0
42101037500,167,139,141,134
42101037600,317,164,502,36
42101037700,330,87,210,68
42101037800,72,34,20,22
42101037900,120,1236,43,0
42101038000,364,177,0,8
42101038100,56,31,5,17
42101038200,263,188,19,0
42101038300,1990,9,0,26
42101038400,92,58,21,0
42101038500,40,119,42,3
42101038600,21,68,16,10
42101038700,24,113,55,17
42101038800,64,82,82,0
42101038900,46,72,30,59
42101039000,1636,769,160,157
42101980000,56,158,6,5
42101980100,0,8,0,5
42101980200,30,7,0,0
42101980300,0,0,0,0
42101980400,0,0,0,0
42101980500,0,0,0,0
42101980600,0,0,0,0
42101980700,0,0,0,0
42101980800,0,0,0,0
42101980900,0,0,0,0
42101989100,420,12,6,35
